Domain Name,First Party Cookies,Third Party Cookies
www.virginia.edu,0,0
www.cnu.edu,0,0
www.jmu.edu,0,0
www.longwood.edu,0,0
www.nsu.edu,4,0
www.odu.edu,0,0
www.radford.edu,1,0
www.uvawise.edu,0,0
www.vcu.edu,0,0
www.vmi.edu,0,0
www.vsu.edu,0,0
www.vt.edu,0,0
www.wm.edu,0,0
www.brcc.edu,0,0
www.mgcc.edu,0,0
www.danville.edu,0,0
www.germanna.edu,0,0
www.reynolds.edu,0,0
www.brightpoint.edu,5,0
www.nvcc.edu,NA,NA
www.liberty.edu,3,1
www.lynchburg.edu,0,0
www.marymount.edu,0,0
www.randolphcollege.edu,NA,NA
www.vwu.edu,1,0
google.com,0,3
youtube.com,0,4
facebook.com,0,2
twitter.com,0,4
instagram.com,0,0
baidu.com,0,3
wikipedia.org,2,3
yandex.ru,0,11
yahoo.com,0,0
xvideos.com,0,2
whatsapp.com,0,3
pornhub.com,0,2
xnxx.com,0,2
paypal.com,0,9
yahoo.co.jp,0,2
live.com,0,3
netflix.com,0,4
reddit.com,0,7
tiktok.com,0,3
openai.com,0,0
linkedin.com,NA,NA
office.com,0,4
samsung.com,NA,NA
turbopages.org,0,1
vk.com,0,5
xhamster.com,NA,NA
weather.com,0,1
twitch.tv,0,3
mail.ru,0,4
naver.com,0,0
discord.com,NA,NA
bing.com,1,10
roblox.com,0,2
craigslist.com,0,2
NBA.com,0,0
pinterest.com,0,4
zoom.us,1,6
qq.com,0,0
duckduckgo.com,0,0
microsoft.com,0,0
fandom.com,0,3
quora.com,NA,NA
news.yahoo.co.jp,0,4
nfl.com,0,0
ebay.com,0,5
msn.com,0,8
globo.com,0,0
apple.com,0,1
booking.com,0,4
ok.ru,1,2
www.buffstreams.ai,NA,NA
www.methstreams.com,NA,NA
www.easybib.com,0,5
www.azmovies.net,NA,NA
www.solarmovie.one,NA,NA
www.free123movies.quest,NA,NA
www.himoves.sx,NA,NA
www.moviesjoy.cc,NA,NA
ww4.fmovies.co,0,0
www.123chill.site,NA,NA
www.primewire.mx,NA,NA
www.yidio.com,NA,NA
www.sflix.to,NA,NA
www.vexmovies.uno,NA,NA
www.afdah2.com,0,0
www.filmzie.com,0,2
www.veoh.com,2,0
www.plex.tv,0,0
www.vidcloud.store,NA,NA
www.myflixerz.to,NA,NA
www.viprow.nu,0,1
www.vipbox.lc,0,1
www.bosscast.eu,0,3
www.olympicstreams.me,0,1
