Domain Name,Category,Third Party Requests
www.virginia.edu,Virginia University,37
www.cnu.edu,Virginia University,18
www.jmu.edu,Virginia University,8
www.longwood.edu,Virginia University,11
www.nsu.edu,Virginia University,21
www.odu.edu,Virginia University,9
www.radford.edu,Virginia University,11
www.uvawise.edu,Virginia University,5
www.vcu.edu,Virginia University,10
www.vmi.edu,Virginia University,10
www.vsu.edu,Virginia University,11
www.vt.edu,Virginia University,10
www.wm.edu,Virginia University,11
www.brcc.edu,Virginia University,23
www.mgcc.edu,Virginia University,11
www.danville.edu,Virginia University,13
www.germanna.edu,Virginia University,9
www.reynolds.edu,Virginia University,23
www.brightpoint.edu,Virginia University,8
www.nvcc.edu,Virginia University,3
www.liberty.edu,Virginia University,12
www.lynchburg.edu,Virginia University,33
www.marymount.edu,Virginia University,16
www.randolphcollege.edu,Virginia University,39
www.vwu.edu,Virginia University,8
google.com,Search Engine,0
youtube.com,Social Media,10
facebook.com,Social Media,1
twitter.com,Social Media,5
instagram.com,Social Media,14
baidu.com,Tech,0
wikipedia.org,Research,2
yandex.ru,Search Engine,3
yahoo.com,Search Engine,43
xvideos.com,Adult Content,4
whatsapp.com,Messaging,1
pornhub.com,Adult Content,2
xnxx.com,Adult Content,4
paypal.com,Payment Service,7
yahoo.co.jp,Search Engine,4
live.com,Tech,0
netflix.com,Legal Streaming,2
reddit.com,Social Media,15
tiktok.com,Social Media,48
openai.com,Tech,4
linkedin.com,Social Media,2
office.com,Tech,6
samsung.com,Tech,16
turbopages.org,Tech,3
vk.com,Social Media,10
xhamster.com,Adult Content,4
weather.com,Weather,10
twitch.tv,Legal Streaming,5
mail.ru,Email,5
naver.com,,7
discord.com,Social Media,8
bing.com,,23
roblox.com,,117
craigslist.com,,3
NBA.com,,35
pinterest.com,,32
zoom.us,,15
qq.com,,12
duckduckgo.com,,8
microsoft.com,,0
fandom.com,,8
quora.com,,5
news.yahoo.co.jp,,6
nfl.com,,9
ebay.com,,6
msn.com,,4
globo.com,,6
apple.com,Tech,9
booking.com,Travel,39
ok.ru,Social Media,2
www.buffstreams.ai,Pirated Streaming,3
www.methstreams.com,Pirated Streaming,4
www.easybib.com,Pirated Streaming,17
www.azmovies.net,Pirated Streaming,14
www.solarmovie.one,Pirated Streaming,2
www.free123movies.quest,Pirated Streaming,1
www.himoves.sx,Pirated Streaming,1
www.moviesjoy.cc,Pirated Streaming,11
ww4.fmovies.co,Pirated Streaming,0
www.123chill.site,Pirated Streaming,11
www.primewire.mx,Pirated Streaming,6
www.putlocker.boo,Pirated Streaming,5
www.yidio.com,Pirated Streaming,4
www.sflix.to,Pirated Streaming,6
www.vexmovies.uno,Pirated Streaming,6
www.afdah2.com,Pirated Streaming,1
www.filmzie.com,Pirated Streaming,4
www.veoh.com,Pirated Streaming,7
www.plex.tv,Pirated Streaming,13
www.vidcloud.store,Pirated Streaming,2
www.myflixerz.to,Pirated Streaming,6
www.viprow.nu,Pirated Streaming,3
www.vipbox.lc,Pirated Streaming,3
www.bosscast.eu,Pirated Streaming,6
www.olympicstreams.me,Pirated Streaming,3
